 "s" , "viafid" ,
 "http://data.cervantesvirtual.com/person/11876" , "http://viaf.org/viaf/106981553" ,
 "http://data.cervantesvirtual.com/person/11880" , "http://viaf.org/viaf/168541843" ,
 "http://data.cervantesvirtual.com/person/11889" , "http://viaf.org/viaf/14228086" ,
 "http://data.cervantesvirtual.com/person/1189" , "http://viaf.org/viaf/51688902" ,
 "http://data.cervantesvirtual.com/person/11898" , "http://viaf.org/viaf/76388190" ,
 "http://data.cervantesvirtual.com/person/119" , "http://viaf.org/viaf/73885945" ,
 "http://data.cervantesvirtual.com/person/11908" , "http://viaf.org/viaf/76584455" ,
 "http://data.cervantesvirtual.com/person/1191" , "http://viaf.org/viaf/90637919" ,
 "http://data.cervantesvirtual.com/person/1192" , "http://viaf.org/viaf/120703656" ,
 "http://data.cervantesvirtual.com/person/11931" , "http://viaf.org/viaf/68977531" ,
 "http://data.cervantesvirtual.com/person/11934" , "http://viaf.org/viaf/93206626" ,
 "http://data.cervantesvirtual.com/person/1194" , "http://viaf.org/viaf/71399403" ,
 "http://data.cervantesvirtual.com/person/11957" , "http://viaf.org/viaf/55019284" ,
 "http://data.cervantesvirtual.com/person/11958" , "http://viaf.org/viaf/5050157" ,
 "http://data.cervantesvirtual.com/person/11969" , "http://viaf.org/viaf/7452809" ,
 "http://data.cervantesvirtual.com/person/11984" , "http://viaf.org/viaf/46049456" ,
 "http://data.cervantesvirtual.com/person/11988" , "http://viaf.org/viaf/71205912" ,
 "http://data.cervantesvirtual.com/person/12" , "http://viaf.org/viaf/66503550" ,
 "http://data.cervantesvirtual.com/person/120" , "http://viaf.org/viaf/59122289" ,
 "http://data.cervantesvirtual.com/person/1200" , "http://viaf.org/viaf/86839191" ,
 "http://data.cervantesvirtual.com/person/12000" , "http://viaf.org/viaf/2528866" ,
 "http://data.cervantesvirtual.com/person/12004" , "http://viaf.org/viaf/2482671" ,
 "http://data.cervantesvirtual.com/person/12013" , "http://viaf.org/viaf/76570613" ,
 "http://data.cervantesvirtual.com/person/12016" , "http://viaf.org/viaf/21029035" ,
