"s","viafid"
"http://datos.bne.es/resource/XX821297","http://viaf.org/viaf/87607617"
"http://datos.bne.es/resource/XX821303","http://viaf.org/viaf/69136275"
"http://datos.bne.es/resource/XX821304","http://viaf.org/viaf/87607638"
"http://datos.bne.es/resource/XX821316","http://viaf.org/viaf/87607672"
"http://datos.bne.es/resource/XX821319","http://viaf.org/viaf/87607686"
"http://datos.bne.es/resource/XX821345","http://viaf.org/viaf/34455821"
"http://datos.bne.es/resource/XX821349","http://viaf.org/viaf/87607733"
"http://datos.bne.es/resource/XX821351","http://viaf.org/viaf/87607746"
"http://datos.bne.es/resource/XX821359","http://viaf.org/viaf/13993637"
"http://datos.bne.es/resource/XX821364","http://viaf.org/viaf/199962170"
"http://datos.bne.es/resource/XX821367","http://viaf.org/viaf/87607780"
"http://datos.bne.es/resource/XX821383","http://viaf.org/viaf/18803621"
"http://datos.bne.es/resource/XX821399","http://viaf.org/viaf/19689629"
"http://datos.bne.es/resource/XX821400","http://viaf.org/viaf/286498057"
"http://datos.bne.es/resource/XX821403","http://viaf.org/viaf/76322185"
"http://datos.bne.es/resource/XX821406","http://viaf.org/viaf/87607896"
"http://datos.bne.es/resource/XX821409","http://viaf.org/viaf/60887467"
"http://datos.bne.es/resource/XX821412","http://viaf.org/viaf/87607910"
"http://datos.bne.es/resource/XX821419","http://viaf.org/viaf/310538527"
"http://datos.bne.es/resource/XX821421","http://viaf.org/viaf/273089131"
"http://datos.bne.es/resource/XX821426","http://viaf.org/viaf/39849126"
"http://datos.bne.es/resource/XX821428","http://viaf.org/viaf/9237026"
"http://datos.bne.es/resource/XX821429","http://viaf.org/viaf/44497926"
"http://datos.bne.es/resource/XX821431","http://viaf.org/viaf/87607934"
"http://datos.bne.es/resource/XX821432","http://viaf.org/viaf/21075828"
"http://datos.bne.es/resource/XX821433","http://viaf.org/viaf/95826355"
"http://datos.bne.es/resource/XX821437","http://viaf.org/viaf/305116481"
"http://datos.bne.es/resource/XX821447","http://viaf.org/viaf/87607968"
"http://datos.bne.es/resource/XX821449","http://viaf.org/viaf/87607975"
"http://datos.bne.es/resource/XX821465","http://viaf.org/viaf/71389226"
"http://datos.bne.es/resource/XX821468","http://viaf.org/viaf/87608011"
"http://datos.bne.es/resource/XX821470","http://viaf.org/viaf/87608024"
"http://datos.bne.es/resource/XX821474","http://viaf.org/viaf/97611338"
"http://datos.bne.es/resource/XX821479","http://viaf.org/viaf/76434683"
"http://datos.bne.es/resource/XX821484","http://viaf.org/viaf/91224316"
"http://datos.bne.es/resource/XX821490","http://viaf.org/viaf/87608048"
"http://datos.bne.es/resource/XX821505","http://viaf.org/viaf/87608095"
"http://datos.bne.es/resource/XX821512","http://viaf.org/viaf/24709970"
"http://datos.bne.es/resource/XX821513","http://viaf.org/viaf/87608114"
"http://datos.bne.es/resource/XX821516","http://viaf.org/viaf/108843446"
"http://datos.bne.es/resource/XX821521","http://viaf.org/viaf/34532768"
"http://datos.bne.es/resource/XX821524","http://viaf.org/viaf/87608133"
"http://datos.bne.es/resource/XX821537","http://viaf.org/viaf/64155209"
